Name	Blank	SRR6819014	SRR6819015	SRR6819016	SRR6819017	SRR6819018	SRR6819019	SRR6819020	SRR6819021	SRR6819022	SRR6819023
YTHDC2_2		9.131104473	8.778457877	8.678857768	8.583090435	8.773555137	9.203999424	9.208637171	9.229326915	9.400680877	9.118836571
SCUBE3		5.030404713	3.772773608	2.916792567	4.245639744	4.26021279	4.452698683	4.154785853	3.137869364	4.389355242	4.339647526
RABX6		7.982673025	8.00270037	8.067743369	7.605984258	7.639046466	7.879069713	7.61485985	7.70956352	7.489488387	7.496974724
ATXN2		5.48383894	5.163423443	4.694673145	5.156082063	5.696410065	5.150820214	6.139347122	5.602694826	5.477106904	5.416237685
RNP4F_1		9.282073551	9.0524644	9.489970799	9.635765356	9.45994679	9.252086381	9.545847389	9.484751725	9.281666076	9.353412033
CLIPD1_3		9.549376826	9.523106781	9.508257371	9.715019525	8.974446419	8.978306589	9.732288777	9.156242184	8.708329311	8.86263142
DIMT1		8.106293217	8.196868385	8.750835822	8.639900691	8.288488918	7.7930332	8.08871003	8.23172856	8.079050082	8.012738206
CRH1		6.227348851	6.662370521	6.291115636	5.876771696	5.569732981	5.508457296	5.889521066	5.043919716	5.28908146	5.691650939
NPEPL1		9.603538101	9.194407952	10.16597434	9.71060612	9.556365988	9.304853152	9.341688536	9.741676979	9.440779409	9.451856911
PA2G4_2		12.29571347	12.28763844	12.50587298	12.61511847	12.52831742	12.4745928	12.56031061	12.66437542	12.51583377	12.33509365
NT1_21		6.694711566	6.845686961	7.001150064	6.505406226	11.85060491	12.70249884	12.79341419	12.59638806	12.93237314	12.32881017
TGL1_3		8.106293217	7.736035754	7.87988459	7.288277623	9.343771959	7.816482582	7.741152046	8.676157102	8.212984448	8.59703316
CEL9		13.18352806	13.80462659	13.64610473	12.79914939	13.14536663	12.75312423	12.92044585	13.99036062	12.75118916	13.56696872
MYO18		7.719058278	8.049441407	6.893965991	7.476801411	7.884999632	8.465700549	9.402684856	8.494587159	8.455957373	8.247082319
RNP4F_2		7.33016773	6.984457277	8.136533729	7.252292068	7.342366918	7.138761648	7.343373859	7.273366375	7.235314911	7.311309625
CRB2		9.967560509	10.21127558	9.561766183	10.31838746	10.35311644	10.41254468	10.8966136	10.07270577	10.20268544	10.26247911
C1QL4_7		0	5.468705064	0	6.02631748	0	0	5.889521066	0	0	0
MED14_2		10.73237388	10.7020344	10.67274507	10.78093547	10.8634259	10.82755799	10.95153591	10.93041059	11.06707294	10.77254843
LIN10		10.24370039	10.06964822	10.38111713	9.9276912	10.1430089	10.10618462	10.17421538	10.0558846	10.14606203	9.976745073
SUPT6H_6		0	3.772773608	2.916792567	4.245639744	4.146450484	4.39155996	4.061023983	0	4.258719443	3.789879333
NXT1		6.736133765	7.512389313	8.227641928	7.858239038	6.520617536	6.306311991	7.26143418	6.30418826	6.602232678	7.070893361
AHCYL2		9.898546873	10.14152509	10.23818327	10.23172015	9.597534674	9.729135262	10.27683662	9.489457286	9.558268414	9.55389644
TSTA3		12.39845872	12.3192748	12.93725044	12.76816078	12.63168771	12.42754118	12.45135298	12.70084372	12.48169011	12.44092647
HIP14		8.872459711	8.605471855	8.755217412	8.649155321	9.197917053	9.088355614	8.797141045	9.247959864	9.331269247	9.285324425
GINT3_3		8.751423408	8.816115132	8.307381609	8.874983863	8.106519913	8.224086005	8.635774708	8.227979172	8.383349272	8.364068246
EGFL7_1		7.013851517	6.858868702	7.141651294	6.505406226	6.891089896	6.862834627	6.139347122	6.231148243	6.031360887	6.739569607
C1QTNF3_11		5.383131508	5.600107384	6.026937333	5.048284023	5.849672929	5.929955033	4.404257504	6.231148243	6.352879243	5.937997843
MRPL4		8.700014833	8.75749558	9.086074929	9.1473364	9.119059273	9.252086381	9.065079047	9.028428489	9.254068162	9.113833339
NT1_22		4.365439962	5.075820452	4.063845314	4.512263938	7.096508457	7.873490852	8.034237622	7.933275382	8.383349272	7.939220165
ARPC4		8.424008867	7.948240536	8.856570992	8.587911007	8.503017562	8.523837565	8.29326514	8.488331991	8.611272725	8.520962676
MED6		8.398435622	8.707365536	9.160638344	8.806324807	8.864061148	8.357958163	8.703278328	8.774539937	8.698912257	8.627777327
BRSK1		3.708094922	5.433895386	4.368416393	4.591209649	5.454947898	4.773421785	5.369782077	4.609205065	4.908248815	5.579987201
NT1_23		6.284309032	5.804684672	6.670946015	5.637361807	7.104146774	6.971276976	5.746256832	6.52804165	6.628924713	6.823686819
GMPR2		13.12917622	13.04307395	13.63128304	13.32264974	13.23462904	13.16006455	13.25231404	13.30232038	13.01453667	13.05170542
TAF13		7.531808331	7.714443209	8.258834774	7.809543815	7.430066632	7.867890334	7.718299071	7.514059128	7.360047676	7.091400256
CERS3		7.566668161	7.832736204	7.52705702	7.445272519	7.680509579	7.590306067	7.430314029	7.793136108	7.430018767	7.638404991
SPATA5L1_3		7.6557085	6.503580522	7.44264209	6.86444308	7.95425333	8.066764206	8.623527378	7.823268502	7.893372639	7.502089605
BAB1_2		4.651816759	4.161179411	0	5.207103714	4.555907053	5.113443191	4.858984045	4.513885413	4.722450974	4.090794036
SREK1		8.801062961	8.739791286	8.848391573	8.616501006	8.562445447	8.821994488	8.874972853	8.625755248	8.717685295	8.500662659
MED4		7.687731078	7.692522577	8.371573392	8.253633091	8.114105547	8.07650887	7.905277753	8.162701909	8.163634088	8.162388877
NT1_25		0	0	2.641851827	0	6.285567532	9.131063032	10.29368176	8.407764271	8.898585777	8.162388877
RPB4		8.175680697	8.11133359	8.588440663	8.106864778	8.40747482	8.337842213	8.009351391	8.197628023	8.154477065	8.005552715
CERS6		11.63399753	11.63803098	12.11902617	11.70543786	11.36612869	11.341027	11.3249714	11.17639866	11.37464352	11.22176182
TGL1_4		4.137101818	5.502694597	5.132107854	6.16180736	10.12341027	11.31913362	8.598716323	11.47258555	11.53406487	10.90877386
CCNL1_1		6.979768984	6.647255278	5.874171138	6.799430505	6.846247688	7.032633728	6.931294591	6.883052288	6.731012543	6.659428298
LARGE1		9.180704488	9.023490577	9.340525249	9.242122744	9.181764831	9.014241037	9.25436466	8.925699274	9.004305191	9.125480671
IER3IP1		7.809154134	7.32562779	8.460122581	7.980588154	7.902627203	7.850957139	7.392319233	7.813294135	7.482187371	7.825488783
JIL-1_3		4.890654075	6.325126743	6.514324572	6.285658057	5.903193834	6.355166044	5.943067229	6.03910601	5.815962545	5.876307576
EGFL7_2		7.013851517	6.735658777	6.652273272	6.69606493	6.722683452	6.918074466	6.116223629	6.260809445	5.927677933	6.782241189
COL5A1_3		0	0	3.67728004	2.616888269	7.529854926	13.69242435	14.9360215	11.9656558	11.86994993	12.18515034
FLO1_2		10.26685059	10.23674424	10.46776566	10.45526076	9.612340284	9.61842524	10.00199557	9.368656638	9.549562795	9.537798341
LGI4_11		7.555141556	7.771320333	7.495977355	7.227793155	7.812253181	8.284188996	7.687254183	9.000130126	8.054646871	8.335699021
P58IPK		9.914421688	9.707461656	9.968800189	9.723806039	10.17781015	10.10499486	9.797336931	10.25232081	10.18030205	10.1464089
CDK5		7.698249243	7.44406196	7.830909446	7.577182984	7.853623423	7.912097291	7.564496607	7.609367674	7.957957041	8.168835841
PAST1		11.60284651	11.3009642	11.42594186	11.46264205	11.317676	11.15292975	11.42656912	11.5170483	11.47460292	11.27987153
SAC1		9.945656696	9.76635919	9.4925974	9.916237832	10.34990756	10.45425217	10.47502793	10.56772213	10.46403411	10.50978478
TIM14		8.385476974	8.670460973	8.970239154	8.435789778	8.687196041	8.707506678	8.407198278	8.794957639	8.597824134	8.644064451
CYC1		12.87450661	12.81522604	13.02582208	12.83987957	12.65722461	12.65186645	12.75322698	12.54476378	12.5305074	12.54913052
EGFL7_3		5.622832417	4.775710221	5.132107854	5.048284023	4.683751477	4.567712561	5.330136623	4.937743659	3.955510736	5.181359281
